2019 rank,City,State,2019 estimate,2010 Census,Change,2016 land area mi2,2016 land area km2,2016 population density mi2,2016 population density km2,Location
26,Portland,Oregon,654741,583776,+12.16%,133.5 mi2,345.8 km2,4793/mi2,1851/km2,45.5370°N 122.6500°W
27,Las Vegas,Nevada,651319,583756,+11.57%,134.4 mi2,348.1 km2,4709/mi2,1818/km2,36.2292°N 115.2601°W
28,Memphis,Tennessee,651073,646889,+0.65%,317.4 mi2,822.1 km2,2056/mi2,794/km2,35.1028°N 89.9774°W
29,Louisville,Kentucky,617638,597337,+3.40%,263.5 mi2,682.5 km2,2339/mi2,903/km2,38.1654°N 85.6474°W
30,Baltimore,Maryland,593490,620961,-4.42%,80.9 mi2,209.5 km2,7598/mi2,2934/km2,39.3000°N 76.6105°W
31,Milwaukee,Wisconsin,590157,594833,-0.79%,96.2 mi2,249.2 km2,6186/mi2,2388/km2,43.0633°N 87.9667°W
32,Albuquerque,New Mexico,560513,545852,+2.69%,188.2 mi2,487.4 km2,2972/mi2,1147/km2,35.1056°N 106.6474°W
33,Tucson,Arizona,548073,520116,+5.38%,230.8 mi2,597.8 km2,2299/mi2,888/km2,32.1531°N 110.8706°W
34,Fresno,California,531576,494665,+7.46%,114.4 mi2,296.3 km2,4563/mi2,1762/km2,36.7836°N 119.7934°W
35,Mesa,Arizona,518012,439041,+17.99%,137.9 mi2,357.2 km2,3514/mi2,1357/km2,33.4019°N 111.7174°W
36,Sacramento,California,513624,466488,+10.10%,97.9 mi2,253.6 km2,5059/mi2,1953/km2,38.5666°N 121.4686°W
37,Atlanta,Georgia,506811,420003,+20.67%,133.5 mi2,345.8 km2,3539/mi2,1366/km2,33.7629°N 84.4227°W
38,Kansas City,Missouri,495327,459787,+7.73%,315.0 mi2,815.8 km2,1528/mi2,590/km2,39.1251°N 94.5510°W
39,Colorado Springs,Colorado,478221,416427,+14.84%,195.6 mi2,506.6 km2,2378/mi2,918/km2,38.8673°N 104.7607°W
40,Omaha,Nebraska,478192,408958,+16.93%,133.2 mi2,345.0 km2,3356/mi2,1296/km2,41.2644°N 96.0451°W
41,Raleigh,North Carolina,474069,403892,+17.38%,145.1 mi2,375.8 km2,3163/mi2,1221/km2,35.8306°N 78.6418°W
42,Miami,Florida,467963,399457,+17.15%,36.0 mi2,93.2 km2,12599/mi2,4865/km2,25.7752°N 80.2086°W
43,Long Beach,California,462628,462257,+0.08%,50.3 mi2,130.3 km2,9347/mi2,3609/km2,33.8092°N 118.1553°W
44,Virginia Beach,Virginia,449974,437994,+2.74%,244.7 mi2,633.8 km2,1850/mi2,710/km2,36.7800°N 76.0252°W
45,Oakland,California,433031,390724,+10.83%,55.9 mi2,144.8 km2,7514/mi2,2901/km2,37.7698°N 122.2257°W
46,Minneapolis,Minnesota,429606,382578,+12.29%,54.0 mi2,139.9 km2,7660/mi2,2960/km2,44.9633°N 93.2683°W
47,Tulsa,Oklahoma,401190,391906,+2.37%,196.8 mi2,509.7 km2,2048/mi2,791/km2,36.1279°N 95.9023°W
48,Tampa,Florida,399700,335709,+19.06%,113.4 mi2,293.7 km2,3326/mi2,1284/km2,27.9701°N 82.4797°W
49,Arlington,Texas,398854,365438,+9.14%,95.8 mi2,248.1 km2,4100/mi2,1600/km2,32.7007°N 97.1247°W
50,New Orleans,Louisiana,390144,343829,+13.47%,169.4 mi2,438.7 km2,2311/mi2,892/km2,30.0534°N 89.9345°W
51,Wichita,Kansas,389938,382368,+1.98%,160.4 mi2,415.4 km2,2431/mi2,939/km2,37.6907°N 97.3459°W
52,Bakersfield,California,384145,347483,+10.55%,148.8 mi2,385.4 km2,2529/mi2,976/km2,35.3212°N 119.0183°W
53,Cleveland,Ohio,381009,396815,-3.98%,77.7 mi2,201.2 km2,4965/mi2,1917/km2,41.4785°N 81.6794°W
54,Aurora,Colorado,379289,325078,+16.68%,153.5 mi2,397.6 km2,2356/mi2,910/km2,39.6880°N 104.6897°W
